Phenotype,Method,h2model,clumpprune,numberofpca,n_folds,mean_h2,std_h2,median_h2,min_h2,max_h2,CV,fold_SE,CI_lower_fold,CI_upper_fold,SNR_fold,significant_fold,tool_SE_mean,tool_SE_std,tool_SE_min,tool_SE_max,n_folds_with_tool_SE,CI_lower_tool,CI_upper_tool,SNR_tool,significant_tool,mean_variants
asthma,LDAK-Calculated-Heritability,LDAK_alpha_0.0_yes,yes,6,5,0.0334,0.0008,0.0333,0.0323,0.0343,0.0231,0.0003,0.0327,0.034,97.0083,Yes,0.0014,0.0,0.0013,0.0014,5,0.0307,0.036,24.6664,Yes,10321.2
asthma,LDAK-Calculated-Heritability,LDAK_alpha_0.5_yes,yes,6,5,0.0316,0.0008,0.0315,0.0306,0.0325,0.0247,0.0003,0.0309,0.0323,90.5843,Yes,0.0013,0.0,0.0013,0.0013,5,0.029,0.0342,23.7885,Yes,10321.2
asthma,LDAK-Calculated-Heritability,LDAK_alpha_1.0_yes,yes,6,5,0.0302,0.0008,0.0301,0.0292,0.0311,0.0259,0.0004,0.0295,0.0309,86.1992,Yes,0.0013,0.0,0.0013,0.0013,5,0.0277,0.0328,23.1073,Yes,10321.2
asthma,LDAK-Calculated-Heritability,LDAK_human_yes,yes,6,5,0.0344,0.0008,0.0343,0.0334,0.0353,0.022,0.0003,0.0337,0.035,101.5938,Yes,0.0014,0.0,0.0013,0.0014,5,0.0317,0.037,25.2133,Yes,10321.2
asthma,LDAK-Precomputed-Heritability,LDAK_bld.ldak.genotyped.gbr.tagging,no,-,1,0.0489,,0.0489,0.0489,0.0489,,,,,,NA,0.0046,,0.0046,0.0046,1,0.0399,0.0579,10.6787,Yes,88019.0
asthma,LDAK-Precomputed-Heritability,LDAK_bld.ldak.hapmap.gbr.tagging,no,-,1,0.0512,,0.0512,0.0512,0.0512,,,,,,NA,0.0047,,0.0047,0.0047,1,0.042,0.0604,10.9012,Yes,351225.0
asthma,LDAK-Precomputed-Heritability,LDAK_bld.ldak.lite.alpha.genotyped.gbr.tagging,no,-,1,0.0403,,0.0403,0.0403,0.0403,,,,,,NA,0.0412,,0.0412,0.0412,1,-0.0405,0.1211,0.9786,No,88019.0
asthma,LDAK-Precomputed-Heritability,LDAK_bld.ldak.lite.alpha.hapmap.gbr.tagging,no,-,1,0.1074,,0.1074,0.1074,0.1074,,,,,,NA,0.0707,,0.0707,0.0707,1,-0.0312,0.246,1.5194,No,351225.0
asthma,LDAK-Precomputed-Heritability,LDAK_ldak.thin.genotyped.gbr.tagging,no,-,1,0.047,,0.047,0.047,0.047,,,,,,NA,0.0024,,0.0024,0.0024,1,0.0424,0.0517,19.8565,Yes,88019.0
asthma,LDAK-Precomputed-Heritability,LDAK_ldak.thin.hapmap.gbr.tagging,no,-,1,0.0476,,0.0476,0.0476,0.0476,,,,,,NA,0.0021,,0.0021,0.0021,1,0.0435,0.0516,23.1367,Yes,351225.0
asthma,LDSC-Genotype-Heritability,LDSC_Genotype_Reference,yes,-,5,-0.0025,0.0048,0.001,-0.0077,0.001,1.9214,0.0021,-0.0067,0.0017,-1.1637,No,0.0076,0.0007,0.0071,0.0083,5,-0.0173,0.0124,-0.3272,No,28055.6
asthma,LDSC-Heritability,LDSC_eur_ref_ld_chr_eur_ref_ld_chr,no,-,5,-0.0077,0.0,-0.0077,-0.0077,-0.0077,0.0,0.0,-0.0077,-0.0077,,No,0.0083,0.0,0.0083,0.0083,5,-0.024,0.0086,-0.9277,No,28082.0
asthma,LDSC-Heritability,LDSC_eur_ref_ld_chr_eur_w_ld_chr,no,-,5,-0.0077,0.0,-0.0077,-0.0077,-0.0077,0.0,0.0,-0.0077,-0.0077,,No,0.0083,0.0,0.0083,0.0083,5,-0.024,0.0086,-0.9277,No,28082.0
