,clump_p1,clump_r2,clump_kb,p_window_size,p_slide_size,p_LD_threshold,numberofpca,h2,numberofvariants,h2model,clumpprune,Method,Phenotype,relatedmatrix,data,Unnamed: 0.1,refset,weightset,alphamodelvalue,precomputedfile
123,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.6343913999999999,598280.6,REML AI algorithm_standardized_genotype,no,Gemma1-Heritability,body_mass_index_bmi,0.0,0.0,,,,,
124,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.3275306792167999,598280.6,REML AI algorithm_standardized_genotype_covariate,no,Gemma1-Heritability,body_mass_index_bmi,0.0,0.0,,,,,
125,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.3638021522397999,598280.6,REML AI algorithm_standardized_genotype_covariate_pca,no,Gemma1-Heritability,body_mass_index_bmi,0.0,0.0,,,,,
126,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.102815666,25824.2,HE regression_centered_genotype,yes,Gemma1-Heritability,hypertension,0.0,0.0,,,,,
127,1.0,0.1,200.0,200.0,50.0,0.25,6.0,-0.3557789999999999,25824.2,HE regression_centered_genotype_covariate,yes,Gemma1-Heritability,hypertension,0.0,0.0,,,,,
128,1.0,0.1,200.0,200.0,50.0,0.25,6.0,-0.3505844,25824.2,HE regression_centered_genotype_covariate_pca,yes,Gemma1-Heritability,hypertension,0.0,0.0,,,,,
129,1.0,0.1,200.0,200.0,50.0,0.25,6.0,-0.11466504,25824.2,HE regression_standardized_genotype,yes,Gemma1-Heritability,hypertension,0.0,0.0,,,,,
130,1.0,0.1,200.0,200.0,50.0,0.25,6.0,-0.3194152,25824.2,HE regression_standardized_genotype_covariate,yes,Gemma1-Heritability,hypertension,0.0,0.0,,,,,
131,1.0,0.1,200.0,200.0,50.0,0.25,6.0,-0.305361,25824.2,HE regression_standardized_genotype_covariate_pca,yes,Gemma1-Heritability,hypertension,0.0,0.0,,,,,
132,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.4329634199999999,598411.6,HE regression_centered_genotype,no,Gemma1-Heritability,hypertension,0.0,0.0,,,,,
133,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.1055580599999999,598411.6,HE regression_centered_genotype_covariate,no,Gemma1-Heritability,hypertension,0.0,0.0,,,,,
134,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.1283659,598411.6,HE regression_centered_genotype_covariate_pca,no,Gemma1-Heritability,hypertension,0.0,0.0,,,,,
